id,x,y,z,Facies
-14325,-14325,17275,450,MG
-12625,-12625,17575,450,MG
-13475,-13475,17225,460,MG
-14325,-14325,17275,460,CO
-12625,-12625,17575,460,CO
-13875,-13875,17725,460,MG
-13475,-13475,17225,470,MG
-14325,-14325,17275,470,CO
-12625,-12625,17575,470,CO
-13875,-13875,17725,470,CO
-14025,-14025,18075,470,MG
-15025,-15025,18525,470,MG
-14725,-14725,18825,470,MG
-13175,-13175,19275,470,MG
-13475,-13475,17225,480,AL
-14325,-14325,17275,480,CO
-13275,-13275,17575,480,MG
-12625,-12625,17575,480,CO
-13875,-13875,17725,480,CO
-13875,-13875,17975,480,AL
-14025,-14025,18075,480,MG
-14175,-14175,18275,480,MG
-15025,-15025,18525,480,MG
-14425,-14425,18525,480,MG
-14025,-14025,18725,480,MG
-14725,-14725,18825,480,MG
-13025,-13025,18825,480,MG
-13025,-13025,19125,480,MG
-13175,-13175,19275,480,CO
-13475,-13475,17225,490,CO
-14325,-14325,17275,490,AL
-12775,-12775,17425,490,AL
-13275,-13275,17575,490,MG
-12625,-12625,17575,490,CO
-13075,-13075,17625,490,MG
-13875,-13875,17725,490,CO
-13875,-13875,17975,490,CO
-14025,-14025,18075,490,CO
-14175,-14175,18275,490,MG
-13625,-13625,18325,490,MG
-15025,-15025,18525,490,CO
-14425,-14425,18525,490,MG
-13625,-13625,18575,490,MG
-13325,-13325,18575,490,MG
-14025,-14025,18725,490,MG
-14725,-14725,18825,490,MG
-13025,-13025,18825,490,CO
-13025,-13025,19125,490,CO
-13175,-13175,19275,490,CO
-13625,-13625,19425,490,AL
-13475,-13475,17225,500,AL
-14325,-14325,17275,500,AL
-12775,-12775,17425,500,CO
-13275,-13275,17575,500,CO
-12625,-12625,17575,500,AL
-13075,-13075,17625,500,MG
-13875,-13875,17725,500,AL
-13875,-13875,17975,500,MG
-14025,-14025,18075,500,CO
-14175,-14175,18275,500,CO
-13325,-13325,18275,500,MG
-13025,-13025,18275,500,MG
-13625,-13625,18325,500,CO
-15025,-15025,18525,500,CO
-14425,-14425,18525,500,CO
-13625,-13625,18575,500,MG
-13325,-13325,18575,500,MG
-12725,-12725,18575,500,MG
-14025,-14025,18725,500,CO
-12625,-12625,18725,500,MG
-14725,-14725,18825,500,CO
-13025,-13025,18825,500,CO
-12625,-12625,19025,500,CO
-13025,-13025,19125,500,CO
-12675,-12675,19125,500,CO
-13175,-13175,19275,500,AL
-13625,-13625,19425,500,CO
-13875,-13875,19675,500,MG
-13475,-13475,17225,510,AL
-14325,-14325,17275,510,AL
-12775,-12775,17425,510,CO
-13275,-13275,17575,510,CO
-12625,-12625,17575,510,AL
-13075,-13075,17625,510,CO
-13875,-13875,17725,510,AL
-12975,-12975,17775,510,CO
-13875,-13875,17975,510,MG
-14025,-14025,18075,510,CO
-12925,-12925,18125,510,MG
-14175,-14175,18275,510,CO
-13325,-13325,18275,510,CO
-13025,-13025,18275,510,MG
-13625,-13625,18325,510,CO
-15025,-15025,18525,510,MG
-14425,-14425,18525,510,CO
-13625,-13625,18575,510,AL
-13325,-13325,18575,510,CO
-12725,-12725,18575,510,CO
-14025,-14025,18725,510,CO
-12625,-12625,18725,510,MG
-12325,-12325,18725,510,MG
-14725,-14725,18825,510,MG
-13025,-13025,18825,510,CO
-12625,-12625,19025,510,CO
-13025,-13025,19125,510,CO
-12675,-12675,19125,510,CO
-13175,-13175,19275,510,CO
-13625,-13625,19425,510,CO
-13875,-13875,19675,510,MG
-13475,-13475,17225,520,AL
-14325,-14325,17275,520,CO
-12775,-12775,17425,520,AL
-13275,-13275,17575,520,CO
-12625,-12625,17575,520,AL
-13075,-13075,17625,520,CO
-13875,-13875,17725,520,MG
-12975,-12975,17775,520,CO
-13875,-13875,17975,520,CO
-14025,-14025,18075,520,CO
-12925,-12925,18125,520,MG
-11975,-11975,18175,520,MG
-14175,-14175,18275,520,AL
-13325,-13325,18275,520,CO
-13025,-13025,18275,520,CO
-13625,-13625,18325,520,CO
-12325,-12325,18425,520,MG
-15025,-15025,18525,520,CO
-14425,-14425,18525,520,AL
-13625,-13625,18575,520,CO
-13325,-13325,18575,520,MG
-12725,-12725,18575,520,CO
-14025,-14025,18725,520,CO
-12625,-12625,18725,520,CO
-12325,-12325,18725,520,CO
-14725,-14725,18825,520,MG
-13025,-13025,18825,520,MG
-12625,-12625,19025,520,CO
-13025,-13025,19125,520,CO
-12675,-12675,19125,520,CO
-13175,-13175,19275,520,CO
-13625,-13625,19425,520,MG
-13875,-13875,19675,520,CO
-12875,-12875,19875,520,MG
-13475,-13475,17225,530,AL
-14325,-14325,17275,530,AL
-12775,-12775,17425,530,AL
-13275,-13275,17575,530,AL
-12625,-12625,17575,530,AL
-13075,-13075,17625,530,AL
-13875,-13875,17725,530,MG
-12975,-12975,17775,530,MG
-13875,-13875,17975,530,CO
-12175,-12175,18025,530,MG
-14025,-14025,18075,530,CO
-12925,-12925,18125,530,CO
-11975,-11975,18175,530,MG
-14175,-14175,18275,530,CO
-13325,-13325,18275,530,CO
-13025,-13025,18275,530,CO
-13625,-13625,18325,530,AL
-12325,-12325,18425,530,MG
-15025,-15025,18525,530,MG
-14425,-14425,18525,530,CO
-13625,-13625,18575,530,CO
-13325,-13325,18575,530,MG
-12725,-12725,18575,530,CO
-14025,-14025,18725,530,CO
-12625,-12625,18725,530,AL
-12325,-12325,18725,530,CO
-14725,-14725,18825,530,CO
-13025,-13025,18825,530,CO
-12625,-12625,19025,530,CO
-13025,-13025,19125,530,CO
-12675,-12675,19125,530,CO
-13175,-13175,19275,530,CO
-13625,-13625,19425,530,CO
-13875,-13875,19675,530,CO
-12875,-12875,19875,530,CO
-13475,-13475,17225,540,CO
-14325,-14325,17275,540,AL
-12775,-12775,17425,540,CO
-13275,-13275,17575,540,AL
-13075,-13075,17625,540,AL
-13875,-13875,17725,540,AL
-12975,-12975,17775,540,AL
-13875,-13875,17975,540,MG
-12175,-12175,18025,540,CO
-14025,-14025,18075,540,MG
-12925,-12925,18125,540,CO
-11975,-11975,18175,540,CO
-14175,-14175,18275,540,CO
-13325,-13325,18275,540,AL
-13025,-13025,18275,540,CO
-13625,-13625,18325,540,CO
-12325,-12325,18425,540,CO
-15025,-15025,18525,540,MG
-14425,-14425,18525,540,MG
-13625,-13625,18575,540,CO
-13325,-13325,18575,540,CO
-12725,-12725,18575,540,MG
-14025,-14025,18725,540,CO
-12625,-12625,18725,540,CO
-12325,-12325,18725,540,CO
-14725,-14725,18825,540,CO
-13025,-13025,18825,540,CO
-12625,-12625,19025,540,CO
