id	 x	 y	 z	from	to	 sample_length	 moisture	 CO2	 tefra	lithological_code_ALPHA	 KThI	lithological_code
174/288	-12613	19007	672.6	0	0.5	0.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	0.5	3	2.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	3	15	12	NaN	NaN	NaN	HD	NaN	3
174/288	-12613	19007	672.6	15	17	2	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	17	22	5	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	22	36.5	14.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	36.5	45.5	9	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	45.5	66	20.5	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	66	68.7	2.7	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	68.7	78.5	9.8	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	78.5	83	4.5	NaN	NaN	NaN	SG	NaN	5
174/288	-12613	19007	672.6	83	97	14	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	97	100	3	50.4	NaN	39.61	CO	1415	2
174/288	-12613	19007	672.6	100	101	1	NaN	NaN	NaN	AL	NaN	1
174/288	-12613	19007	672.6	101	103	2	51.2	NaN	26.81	CO	1730	2
174/288	-12613	19007	672.6	103	105.8	2.8	56.6	NaN	28.61	CO	1430	2
174/288	-12613	19007	672.6	105.8	107.1	1.3	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	107.1	107.8	0.7	57.5	NaN	25.61	CO	1470	2
174/288	-12613	19007	672.6	107.8	108.6	0.8	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	108.6	109.5	0.9	58.8	NaN	18.71	CO	1580	2
174/288	-12613	19007	672.6	109.5	110.2	0.7	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	110.2	111.1	0.9	60	NaN	20.11	CO	1485	2
174/288	-12613	19007	672.6	111.1	111.9	0.8	NaN	NaN	NaN	MG	NaN	4
174/288	-12613	19007	672.6	111.9	112.75	0.85	59.8	NaN	18.01	CO	1545	2
