x	y	Al
227	88	10.269099
80	34	10.664789
27	156	10.181936
108	118	9.763342
278	189	11.11376
292	41	11.055713
49	219	9.479109
140	11	11.649808
4	14	8.623899
183	169	7.539294
228	244	10.461074
147	13	11.226297
137	273	8.641676
297	176	9.751127
37	58	8.606569
39	136	10.336464
220	109	10.889722
288	288	12.419717
171	150	8.981474
80	147	9.105012
296	144	10.015909
132	75	10.747514
155	106	9.336536
118	107	9.890789
250	242	11.61111
73	28	11.369093
54	30	9.821025
263	40	11.242722
135	160	10.092874
21	90	9.537696
151	240	9.532394
61	41	10.295094
56	233	9.37966
66	24	10.680568
70	137	9.184232
109	117	9.728864
230	53	11.493838
208	249	10.442207
66	160	10.094929
130	215	9.26609
104	108	9.931015
89	290	9.08087
245	227	10.233112
285	17	10.953827
151	109	9.801475
69	232	9.750394
204	32	11.051625
5	126	9.134134
257	210	10.564376
263	282	10.779637
