x	y	z	elevation_mask	use_for_kriging	LCV.pred	LCV.var
-14950	17550	455	558.112217295184	TRUE	1377.45810616289	88650.8561701002
-14850	17550	455	555.873993270339	TRUE	1378.66475303514	88642.4699855639
-14750	17550	455	554.28013615091	TRUE	1389.85981420635	88453.0033558049
-14650	17550	455	552.656660210503	TRUE	1411.99866592684	87631.8315819713
-14550	17550	455	551.147339381125	TRUE	1438.87085076176	85797.7575223228
-14450	17550	455	549.987566460395	TRUE	1464.15494515322	83202.233605584
-14350	17550	455	548.999064130278	TRUE	1484.03742872237	81040.8550015983
-14250	17550	455	548.64918753878	TRUE	1493.01618782352	80504.8566213452
-14150	17550	455	548.455018627664	TRUE	1490.3013942248	81030.7174725571
-14050	17550	455	549.347763448984	TRUE	1483.06270102989	80898.6773077352
-13950	17550	455	551.064778788523	TRUE	1471.9810323126	79757.7555708751
-13850	17550	455	554.514367609125	TRUE	1433.77387334065	79410.4206482337
-13750	17550	455	559.134296565892	TRUE	1380.93028317101	81090.6914358799
-13650	17550	455	564.254527908102	TRUE	1336.02041982009	83500.2438511405
-13550	17550	455	568.762476322729	TRUE	1307.45950370316	85314.2415124046
-13450	17550	455	572.071309858783	TRUE	1299.58055822168	86427.0097575447
-13350	17550	455	574.478104652959	TRUE	1308.35869458774	87189.3587823938
-13250	17550	455	576.311946102892	TRUE	1324.73698815469	87745.0581813698
-13150	17550	455	577.218549535079	TRUE	1325.57064594382	87906.3341313725
-13050	17550	455	576.716256435401	TRUE	1329.67605853259	87129.0333625919
-12950	17550	455	574.172393786147	TRUE	1333.11233164069	84608.3137452712
-12850	17550	455	569.312684656594	TRUE	1322.93205093337	79525.4566444719
-12750	17550	455	561.340928444372	TRUE	1294.63219606212	71722.804120547
-12650	17550	455	554.602355536343	TRUE	1247.50524411313	63932.4081080106
-12550	17550	455	555.939607010174	TRUE	1279.97079780059	69050.7338878278
-12450	17550	455	560.911855162898	TRUE	1318.72312315014	77456.3854579182
-12350	17550	455	563.239257808688	TRUE	1341.47646832575	83560.0957683141
-12250	17550	455	563.233577849335	TRUE	1351.99983090585	86950.9349318425
-12150	17550	455	561.36562959783	TRUE	1359.91432579428	88315.2503198693
-12050	17550	455	561.022488521481	TRUE	1373.61549840791	88632.7432404503
-14950	17650	455	555.363603364524	TRUE	1377.45810616289	88650.8561701002
-14850	17650	455	551.619518530886	TRUE	1377.45810616289	88650.8561701002
-14750	17650	455	550.774914191807	TRUE	1381.66765033918	88612.7375429463
-14650	17650	455	547.974569265186	TRUE	1393.86779160231	88342.5586771616
-14550	17650	455	545.250803301224	TRUE	1411.85174698406	87639.2433138159
-14450	17650	455	544.784854393787	TRUE	1429.2694886129	86613.6002385644
-14350	17650	455	540.501026972428	TRUE	1444.75361080605	85649.6496768632
-14250	17650	455	543.153424002096	TRUE	1457.1277149271	84770.9202669311
-14150	17650	455	538.456519545241	TRUE	1472.34560036557	83274.2716596614
-14050	17650	455	543.29383451846	TRUE	1487.69372987058	80227.7045120685
-13950	17650	455	541.915105116895	TRUE	1494.80934467725	75961.1747984991
-13850	17650	455	548.829747744642	TRUE	1473.10885730538	73952.7019897488
-13750	17650	455	554.962208914672	TRUE	1419.72221640452	77404.1069014137
-13650	17650	455	562.620405909458	TRUE	1359.16800432483	81856.8606501611
-13550	17650	455	568.773850314481	TRUE	1315.53347315991	85007.6192476863
-13450	17650	455	571.876493699922	TRUE	1302.94391610308	86853.4095968247
-13350	17650	455	574.200341975	TRUE	1311.38128628382	87793.3661081611
-13250	17650	455	576.037934251044	TRUE	1330.05407204652	88146.9431172387
-13150	17650	455	577.590831602712	TRUE	1338.30959375167	88045.4523751106
-13050	17650	455	577.271684863261	TRUE	1334.93343354867	87218.0412523516
-12950	17650	455	573.295350914023	TRUE	1331.35045952093	85000.6045952629
-12850	17650	455	566.86979882192	TRUE	1324.36946844106	80635.5024589108
-12750	17650	455	553.932192052984	TRUE	1304.69221059852	74345.6430229013
-12650	17650	455	549.149193028649	TRUE	1282.89099442235	69553.1045200667
-12550	17650	455	543.291703997653	TRUE	1296.79111111986	72425.1105787683
-12450	17650	455	556.671810609317	TRUE	1324.64198195959	78930.2579428057
-12350	17650	455	555.347313491252	TRUE	1343.52759033222	84176.8671209691
-12250	17650	455	560.970285225857	TRUE	1352.69237314716	87167.6601696438
-12150	17650	455	555.621112407262	TRUE	1360.74712826578	88367.8889357054
-12050	17650	455	556.006195402092	TRUE	1374.36447460097	88637.6220573635
-14950	17750	455	559.184768387029	TRUE	1377.45810616289	88650.8561701002
-14850	17750	455	556.543297413838	TRUE	1377.45810616289	88650.8561701002
-14750	17750	455	554.725737195694	TRUE	1377.56851386473	88650.4162381103
-14650	17750	455	552.073527363139	TRUE	1381.62927360119	88613.229075097
-14550	17750	455	549.478665486796	TRUE	1389.7122808871	88456.6946740374
-14450	17750	455	548.099675801065	TRUE	1399.73035295121	88178.1497706204
-14350	17750	455	545.755305854968	TRUE	1411.29361504113	87756.6275955868
-14250	17750	455	546.375053452172	TRUE	1425.47642552002	86792.3825889258
-14150	17750	455	544.844713800637	TRUE	1449.41550799138	84536.72766066
-14050	17750	455	547.189159850878	TRUE	1481.50391912897	80390.9698516782
-13950	17750	455	548.153293667335	TRUE	1505.4274788679	74928.0065511831
-13850	17750	455	553.411434382795	TRUE	1497.48755160552	71961.0068371662
-13750	17750	455	559.949631522022	TRUE	1457.8940306115	76353.0712781095
-13650	17750	455	567.233512765759	TRUE	1395.92945459835	81345.160696161
-13550	17750	455	572.09860431897	TRUE	1337.38814120131	84769.3796186261
-13450	17750	455	573.758062482418	TRUE	1312.71260579834	86773.3345292849
-13350	17750	455	574.587639287814	TRUE	1320.99627651002	87837.75529123
-13250	17750	455	576.205953584531	TRUE	1340.77725617238	88242.6351532191
-13150	17750	455	577.959951595733	TRUE	1348.97780974242	88215.2629257698
-13050	17750	455	577.252680619807	TRUE	1340.23137849857	87697.9766334927
-12950	17750	455	575.732144786398	TRUE	1337.79363582698	86285.271664348
-12850	17750	455	575.105253875401	TRUE	1335.79610695592	83554.8148056885
-12750	17750	455	573.707179476839	TRUE	1327.7846882878	80028.9824697832
-12650	17750	455	574.469350422324	TRUE	1320.48109275956	77850.717620954
-12550	17750	455	572.475836851209	TRUE	1325.29042516752	79097.3976240304
-12450	17750	455	576.042033345938	TRUE	1338.05112390219	82565.5359351024
-12350	17750	455	581.321454072932	TRUE	1348.58812629175	85807.396235282
-12250	17750	455	582.696702524511	TRUE	1355.07878764437	87745.3299069815
-12150	17750	455	583.555029307365	TRUE	1364.02783177816	88501.7009912611
-12050	17750	455	583.382873308134	TRUE	1376.37985483912	88647.4976851577
-14950	17850	455	564.433964510625	TRUE	1377.45810616289	88650.8561701002
-14850	17850	455	561.259551226461	TRUE	1377.45810616289	88650.8561701002
-14750	17850	455	559.718903526114	TRUE	1377.45810616289	88650.8561701002
-14650	17850	455	556.288251642463	TRUE	1377.45810616289	88650.8561701002
-14550	17850	455	552.699542469654	TRUE	1378.60721871301	88642.9270349094
-14450	17850	455	552.161711755278	TRUE	1382.04439282574	88609.408763243
-14350	17850	455	546.24006076237	TRUE	1382.80006937244	88427.5919853241
-14250	17850	455	550.684813815193	TRUE	1392.0108758107	87621.9117659221
-14150	17850	455	544.4111217555	TRUE	1419.25124276705	85581.1240233447
-14050	17850	455	552.224533730432	TRUE	1461.2706515601	82125.2441474706
-13950	17850	455	551.092059849924	TRUE	1497.76160167883	78329.5196376621
-13850	17850	455	558.9048850968	TRUE	1500.66947744685	76885.2071071387
-13750	17850	455	564.321270095032	TRUE	1471.02471938276	79234.593446861
-13650	17850	455	570.993801053305	TRUE	1417.87300359469	82717.1880577037
-13550	17850	455	574.066285811052	TRUE	1357.98400610477	85372.5457743289
-13450	17850	455	573.801292761032	TRUE	1323.16461425959	86989.805832955
-13350	17850	455	574.320948160464	TRUE	1326.0992656284	87915.1897204186
-13250	17850	455	575.350300093774	TRUE	1346.01464173387	88348.6257456257
-13150	17850	455	579.241251314397	TRUE	1361.26475109904	88441.5301247521
-13050	17850	455	579.538600978589	TRUE	1352.63028821935	88250.5922910561
-12950	17850	455	578.893597220811	TRUE	1348.29070566406	87606.9955654456
-12850	17850	455	579.780992191125	TRUE	1347.60061478274	86315.0566003024
-12750	17850	455	582.060397351769	TRUE	1345.19547767959	84715.935482318
-12650	17850	455	583.340251396412	TRUE	1342.2852157584	83800.9327953399
-12550	17850	455	592.615552085817	TRUE	1343.98974992324	84318.8856346743
-12450	17850	455	589.276317539262	TRUE	1348.72602611639	85853.4317164273
-12350	17850	455	592.376157526963	TRUE	1353.45056361859	87381.4714570845
-12250	17850	455	587.684023230234	TRUE	1359.61014492201	88293.5105273967
-12150	17850	455	588.124503834728	TRUE	1370.94747974861	88610.9368956392
-12050	17850	455	590.310911122158	TRUE	1377.45810616289	88650.8561701002
-14950	17950	455	570.626347688771	TRUE	1377.48353206993	88650.7813454922
-14850	17950	455	569.079732310341	TRUE	1377.45810616289	88650.8561701002
-14750	17950	455	566.500061214994	TRUE	1377.45810616289	88650.8561701002
-14650	17950	455	563.459934644025	TRUE	1377.45810616289	88650.8561701002
-14550	17950	455	560.556221421518	TRUE	1377.45810616289	88650.8561701002
-14450	17950	455	558.610621990736	TRUE	1376.16471330797	88649.7521391154
-14350	17950	455	556.839732053906	TRUE	1363.26037218694	88550.9248512965
-14250	17950	455	556.875536009584	TRUE	1363.22060626837	87975.6891848328
-14150	17950	455	556.869897967413	TRUE	1388.52655266115	86535.2478645782
-14050	17950	455	559.109889287386	TRUE	1432.51443691742	84303.9485590308
-13950	17950	455	561.644799600425	TRUE	1475.46403768993	82196.4837666261
-13850	17950	455	565.780347856697	TRUE	1487.02198730947	81602.847968933
-13750	17950	455	569.782864463165	TRUE	1468.26595906328	82886.5216882647
-13650	17950	455	573.20561132386	TRUE	1428.04285810268	84907.7220308407
-13550	17950	455	574.727606663644	TRUE	1377.0860706131	86565.2027277633
-13450	17950	455	574.409242534828	TRUE	1337.54431368885	87593.8038901736
-13350	17950	455	574.181294500364	TRUE	1337.37479366659	88186.2872340887
-13250	17950	455	575.85683938173	TRUE	1358.05197967489	88501.1075233274
-13150	17950	455	579.760448681526	TRUE	1373.64533586246	88597.4471427326
-13050	17950	455	581.760945594132	TRUE	1368.82006787208	88570.2784557631
-12950	17950	455	582.618020585227	TRUE	1360.02463203117	88386.0555163775
-12850	17950	455	583.731823798132	TRUE	1356.12739751757	87945.7210841806
-12750	17950	455	586.715923117462	TRUE	1353.56643631225	87381.4276715334
-12650	17950	455	589.862198826382	TRUE	1352.35203995555	87062.6367000405
-12550	17950	455	592.377239178213	TRUE	1352.94495112457	87242.272016152
