Al	As	Ba	V	Cd	Cr	Cu	Fe	Pb	Mn	Se	Zn	Size	Depth
1550	2.85	32.35	2.65	0.05	1.1	17.9	610	14.35	177.4	0.85	20.85	Fine	0-10cm
1000	0.55	44.3	1.95	0	0.75	7.4	338.5	13.15	146	2.45	5.5	Fine	0-10cm
1800	0.35	25.3	2.5	0	1.3	11.8	850	17.75	149.9	2.7	10.9	Fine	0-10cm
725	2.5	12.75	1.25	0	0.3	2.6	239.4	2.85	50.75	0	4.2	Coarse	0-10cm
593.5	5.2	32.75	1.05	0.2	0.9	2.85	314.5	8.25	144.5	2.9	5	Coarse	0-10cm
930	0	14.95	1.25	0	0.5	4	553.5	4.95	70	0	5.1	Coarse	0-10cm
386	0.15	3.5	0	0	0.3	1.75	229.75	0.1	14	0	1.75	Gravel	0-10cm
79.5	4.3	4.2	0.5	0	0	0	46.15	0	24.1	0	0.5	Gravel	0-10cm
195	0	2.7	0.65	0	0	0.95	86.5	1.85	240	0	1	Gravel	0-10cm
1668	2.8	33.4	2.85	0	1.1	10.25	595	9.45	179.5	1.35	11.35	Fine	10-20cm
1250	1.3	55	8	0	1.1	11.85	545	16.75	195	3.15	8	Fine	10-20cm
1495	0.35	20	2.25	0	1	9.75	730	18.15	138	1.25	8.95	Fine	10-20cm
665	2.4	12.85	4.4	0	0.1	2.25	231.5	2.45	49.95	0.75	4.4	Coarse	10-20cm
303	0.15	19.8	0.9	0	0.4	1.2	162.35	4.6	102.5	1.95	1.75	Coarse	10-20cm
610	0	0	1.25	0	0.2	2.45	145	8.55	72	0	3.1	Coarse	10-20cm
274.3	0	6.45	1.5	0	0	0	14.95	0.6	6.7	0	1.5	Gravel	10-20cm
157.9	0	14.5	0.6	0	0	0	116.5	0	18.85	0.65	0.8	Gravel	10-20cm
312	0	6.7	0.1	0	0	1.45	120	0.3	9.4	0	1.95	Gravel	10-20cm
1430	1.65	31.95	2.45	0	1.05	15.15	495	9.55	164.5	1.65	11.25	Fine	20-30cm
1450	0.6	61.5	2.65	0	1.3	1.65	635	17.4	220	2.4	8.35	Fine	20-30cm
1615	0.75	22.95	2.6	0	1.1	9.45	835	20.5	152	0.35	10.5	Fine	20-30cm
638	1.9	11	0.8	0	0.15	2.05	302	1.8	36.1	0.55	3.75	Coarse	20-30cm
255	0	4.75	0.7	0	0	1.2	104.5	3.55	20.55	0	0.55	Coarse	20-30cm
830	0.2	14.35	2	0	0.5	4.05	430	12.4	89.5	0	5.7	Coarse	20-30cm
185.5	0	3	1.55	0	0	1	139.5	0.6	8.9	0	1.55	Gravel	20-30cm
181.5	0	4.3	0.6	0	0	1.5	105	3.8	23.75	0	1	Gravel	20-30cm
46.45	1.2	2.45	0.35	0	0	0	24.5	0.5	6	0	0	Gravel	20-30cm
